stakeholder_id,concern_id,priority_weight,evidence
sh17,con6,"H","Principle from Azapagic (2004): Company image. Specific Interest: '> Access to transparent and timely information > Corporate responsiveness to incidents > Honest, open communication'"
sh18,con8,"M","Principle from Azapagic (2004): Profitability. Specific Interest: '> economic viability of the company they are supplying to'"
sh18,con14,"H","Principle from Azapagic (2004): Prompt payment. Specific Interest: '> whether their contracts will be paid in accordance with terms'"
sh19,con8,"H","Principle from Azapagic (2004): Price. Specific Interest: '> Arbitrage opportunities; > Liquidity and transparent pricing'"
sh19,con10,"M","Principle from Azapagic (2004): Product safety. Specific Interest: '> Reliable provenance documentation.'"
sh20,con9,"H","Principle from Azapagic (2004): Company image. Specific Interest: '> Reputation and licence to operate'"
sh20,con13,"M","Principle from Azapagic (2004): Environmental protection. Specific Interest: '> Harmonised ESG standards'"
sh21,con5,"H","Principle from Azapagic (2004): Employment. Specific Interest: '> Secure and legal access to mineral deposits'"
sh21,con2,"M","Principle from Azapagic (2004): Health and safety. Specific Interest: '> Safe working conditions.'"
sh21,con11,"H","Principle from Azapagic (2004): Price. Specific Interest: '> Fair market access and pricing'"
sh22,con3,"H","Principle from Azapagic (2004): Health and safety. Specific Interest: '> Respect for human rights standards.'"
sh23,con8,"H","Principle from Azapagic (2004): Financial return, profitability. Specific Interest: '> Growing focus on socially-responsible investment (SRI)'"
sh24,con6,"H","Principle from Azapagic (2004): Company image. Specific Interest: '> Access to data and case studies; > Collaborative R&D opportunities; > Funding for applied research.'"
sh25,con8,"H","Principle from Azapagic (2004): Financial return. Specific Interest: '> Minimise financial and reputational risk'"
sh25,con13,"H","Principle from Azapagic (2004): Risk. Specific Interest: '> Screen borrowers on environmental & social performance > Competitive loan terms linked to ESG standards'"
sh26,con4,"H","Principle from Azapagic (2004): Social issues. Specific Interest: '> Sustainable development outcomes; > Best practice implementation'"
sh26,con12,"M","Principle from Azapagic (2004): Compliance with legislation. Specific Interest: '> Facilitation and compliance with funding conditions.'"
sh27,con12,"H","Principle from Azapagic (2004): Risk. Specific Interest: '> potential env liabilities related to mine closure; > Limit exposure to catastrophic liabilities (e.g., tailings dam failures); > Stable political jurisdictions'"
sh27,con13,"H","Principle from Azapagic (2004): Risk. Specific Interest: '> Expectation of compliance with international safeguards.'"
